Code,Course,Section,Session,Credits,Campus,Instructor,Times,Location,Year/Sem.
BUS177,Business Communications(BUS177),A,15W,3,AUA Main Campus,Kristine Sargsyan,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Classroom 206E Paramaz Avedissian Building,202324/fall
BUS177,Business Communications(BUS177),B,15W,3,AUA Main Campus,Sergey Tantushyan,"TUE 9:00am-10:15am, THU 9:00am-10:15am",Classroom 207E Paramaz Avedissian Building,202324/fall
BUS177,Business Communications(BUS177),C,15W,3,AUA Main Campus,Sergey Tantushyan,"TUE 10:30am-11:45am, THU 10:30am-11:45am",Classroom 207E Paramaz Avedissian Building,202324/fall
BUS210,Introduction to International Business Management(BUS210),0,15W,3,AUA Main Campus,Vahe Odabashian,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Classroom 207E Paramaz Avedissian Building,202324/fall
BUS226,"Money, Banking and Financial Institutions(BUS226)(Prerequisite)",0,15W,3,AUA Main Campus,Isabella Adilkhanyan,"TUE 9:00am-10:15am, THU 9:00am-10:15am",Classroom 315E Paramaz Avedissian Building,202324/fall
BUS230,Introduction to Finance(BUS230)(Prerequisite),A,15W,3,AUA Main Campus,Edgar Begrakyan,"MON 8:30am-9:20am, WED 8:30am-9:20am, FRI 8:30am-9:20am",Classroom 113W Paramaz Avedissian Building,202324/fall
BUS230,Introduction to Finance(BUS230)(Prerequisite),B,15W,3,AUA Main Campus,Edgar Begrakyan,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Classroom 113W Paramaz Avedissian Building,202324/fall
BUS230,Introduction to Finance(BUS230)(Prerequisite),C,15W,3,AUA Main Campus,Narek Ohanyan,"TUE 12:00pm-1:15pm, THU 12:00pm-1:15pm",Classroom 113W Paramaz Avedissian Building,202324/fall
BUS230,Introduction to Finance(BUS230)(Prerequisite),D,15W,3,AUA Main Campus,Lena Seissian,"TUE 1:30pm-2:45pm, THU 1:30pm-2:45pm",Classroom 313W Paramaz Avedissian Building,202324/fall
BUS232,Principles of Corporate Finance(BUS232)(Prerequisite),0,15W,3,AUA Main Campus,Armen Arakelyan,"TUE 3:00pm-4:15pm, THU 3:00pm-4:15pm",Classroom 208E Paramaz Avedissian Building,202324/fall
BUS247,Intermediate Managerial Accounting(BUS247)(Prerequisite),0,15W,3,AUA Main Campus,Lena Seissian,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 207E Paramaz Avedissian Building,202324/fall
BUS253,Introduction to Auditing(BUS253)(Prerequisite),0,15W,3,AUA Main Campus,Eliza Tigranyan,"TUE 10:30am-11:45am, THU 10:30am-11:45am",Classroom 206E Paramaz Avedissian Building,202324/fall
BUS263,Brand Management(BUS263)(Prerequisite),0,15W,3,AUA Main Campus,Liana Tadevosyan,"TUE 9:00am-10:15am, THU 9:00am-10:15am",Classroom 206E Paramaz Avedissian Building,202324/fall
BUS265,International Marketing(BUS265)(Prerequisite),A,15W,3,AUA Main Campus,Liana Tadevosyan,"MON 8:30am-9:20am, WED 8:30am-9:20am, FRI 8:30am-9:20am",Classroom 206E Paramaz Avedissian Building,202324/fall
BUS265,International Marketing(BUS265)(Prerequisite),B,15W,3,AUA Main Campus,Liana Tadevosyan,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Classroom 216M Main Building,202324/fall
BUS266,Advertising Management(BUS266)(Prerequisite),0,15W,3,AUA Main Campus,Zarmine Zeitountsian,"TUE 3:00pm-4:15pm, THU 3:00pm-4:15pm",Classroom 206E Paramaz Avedissian Building,202324/fall
BUS275,Market Research(BUS275)(Prerequisite),0,15W,3,AUA Main Campus,Fanis Varvoglis,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Classroom 306E Paramaz Avedissian Building,202324/fall
BUS276,Integrated Marketing Communication(BUS276)(Prerequisite),0,15W,3,AUA Main Campus,Anahit Armenakyan,"TUE 12:00pm-1:15pm, THU 12:00pm-1:15pm",Classroom 406E Paramaz Avedissian Building,202324/fall
BUS278,Internet Marketing(BUS278)(Prerequisite),0,15W,3,AUA Main Campus,Areg Vardanyan,"TUE 10:30am-11:45am, THU 10:30am-11:45am",Classroom 306E Paramaz Avedissian Building,202324/fall
BUS280,Operations Management(BUS280)(Prerequisite),A,15W,3,AUA Main Campus,Vahe Odabashian,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 114W Paramaz Avedissian Building,202324/fall
BUS280,Operations Management(BUS280)(Prerequisite),B,15W,3,AUA Main Campus,Vahe Odabashian,"MON 11:30am-12:20pm, WED 11:30am-12:20pm, FRI 11:30am-12:20pm",Classroom 114W Paramaz Avedissian Building,202324/fall
BUS280,Operations Management(BUS280)(Prerequisite),C,15W,3,AUA Main Campus,Agassy Manoukian,"TUE 9:00am-10:15am, THU 9:00am-10:15am",Classroom 214W Paramaz Avedissian Building,202324/fall
BUS280,Operations Management(BUS280)(Prerequisite),D,15W,3,AUA Main Campus,Agassy Manoukian,"TUE 10:30am-11:45am, THU 10:30am-11:45am",Classroom 214W Paramaz Avedissian Building,202324/fall
BUS286,Accounting Information Systems(BUS286)(Prerequisite),A,15W,3,AUA Main Campus,Komitas Stepanyan,"TUE 1:30pm-2:45pm, THU 1:30pm-2:45pm",Classroom 114W Paramaz Avedissian Building,202324/fall
BUS290,Independent Study(BUS290),P,10w,3,AUA Main Campus,Knar Khachatryan,TBD,,202324/fall
BUS292,Internship(BUS292)(Prerequisite),0,15W,3,AUA Main Campus,Gayane Barseghyan,TBD,,202324/fall
BUS293,Internship(BUS293),0,10w,2,AUA Main Campus,Gayane Barseghyan,TBD,,202324/fall
BUS295,Research Methods(BUS295),A,15W,3,AUA Main Campus,Vardan Baghdasaryan,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Classroom 307E Paramaz Avedissian Building,202324/fall
BUS295,Research Methods(BUS295),B,15W,3,AUA Main Campus,Hayk Kamalyan,"MON 12:30pm-1:20pm, WED 12:30pm-1:20pm, FRI 12:30pm-1:20pm",Classroom 207E Paramaz Avedissian Building,202324/fall
BUS295,Research Methods(BUS295),C,15W,3,AUA Main Campus,Fanis Varvoglis,"MON 1:30pm-2:20pm, WED 1:30pm-2:20pm, FRI 1:30pm-2:20pm",Classroom 306E Paramaz Avedissian Building,202324/fall
BUS295,Research Methods(BUS295),D,15W,3,AUA Main Campus,Sevag Agop,"TUE 10:30am-11:45am, THU 10:30am-11:45am",Classroom 114W Paramaz Avedissian Building,202324/fall
BUS295,Research Methods(BUS295),E,15W,3,AUA Main Campus,Knar Khachatryan,"TUE 12:00pm-1:15pm, THU 12:00pm-1:15pm",Classroom 608M Main Building,202324/fall
BUS295,Research Methods(BUS295),F,15W,3,AUA Main Campus,Sevak Alaverdyan,"TUE 3:00pm-4:15pm, THU 3:00pm-4:15pm",Classroom 213W Paramaz Avedissian Building,202324/fall
BUS298,Business Case Analysis(BUS298)(Prerequisite),0,15W,3,AUA Main Campus,Karen Sarkavagyan,"TUE 10:30am-11:45am, THU 10:30am-11:45am",Classroom 215E Paramaz Avedissian Building,202324/fall
BUS300,Introduction to International Competitive Strategy(BUS300),0,15w,2,AUA Main Campus,Martin Galstyan,MON 6:30pm-8:10pm,Classroom 308E Paramaz Avedissian Building,202324/fall
BUS320,Data Analysis for Business Decisions(BUS320)(Prerequisite),0,15w,3,AUA Main Campus,Vahe Movsisyan,SAT 10:30am-1:15pm,Classroom 206E Paramaz Avedissian Building,202324/fall
BUS339,Special Topics in Finance(BUS339),0,15w,2,AUA Main Campus,Artashes Tonoyan,SAT 10:30am-12:10pm,Classroom 207E Paramaz Avedissian Building,202324/fall
BUS345,Financial Accounting(BUS345),0,15w,3,AUA Main Campus,Emil Vassilyan,FRI 6:30pm-9:30pm,Classroom 208E Paramaz Avedissian Building,202324/fall
BUS348,Financial Statement Analysis(BUS348),0,15w,3,AUA Main Campus,Marianna Amirbekyan,FRI 6:30pm-9:30pm,Classroom 214W Paramaz Avedissian Building,202324/fall
BUS353,Auditing and Evaluation Controls(BUS353)(Prerequisite),0,15w,3,AUA Main Campus,Ara Chalabyan,THU 6:30pm-9:50pm,Classroom 213W Paramaz Avedissian Building,202324/fall
BUS365,Marketing Research(BUS365)(Prerequisite),0,15w,3,AUA Main Campus,Mohamed Ezz,SAT 5:30pm-8:15pm,To Be Determined To Be Determined,202324/fall
BUS369,Special Topics in Marketing(BUS369),0,15w,2,AUA Main Campus,Armen Avakian,WED 8:30pm-10:10pm,Classroom 214W Paramaz Avedissian Building,202324/fall
BUS370,Special Topics in Marketing: Strategic Marketing(BUS370)(Prerequisite),0,15w,2,AUA Main Campus,Armen Avakian,WED 6:30pm-8:10pm,Classroom 214W Paramaz Avedissian Building,202324/fall
BUS380,Operations & Process Management(BUS380),0,15w,2,AUA Main Campus,Agassy Manoukian,WED 6:30pm-9:15pm,Classroom 213W Paramaz Avedissian Building,202324/fall
BUS382,Supply Chain Management(BUS382),0,15w,2,AUA Main Campus,Agassy Manoukian,MON 8:30pm-10:10pm,Classroom 213W Paramaz Avedissian Building,202324/fall
BUS51,Effective Communications(BUS51),0,15w,2,AUA Main Campus,Hilda Grigorian,TBD,,202324/fall
CBE102,Introduction to Personal Finance(CBE102),0,15W,3,AUA Main Campus,Mariam Ter-Sahakyan,"MON 2:30pm-3:20pm, WED 2:30pm-3:20pm, FRI 2:30pm-3:20pm",Classroom 207E Paramaz Avedissian Building,202324/fall
CHSS110,Introduction to Philosophy(CHSS110),0,15W,3,AUA Main Campus,Arshak Balayan,"MON 11:30am-12:20pm, WED 11:30am-12:20pm, FRI 11:30am-12:20pm",Classroom 306E Paramaz Avedissian Building,202324/fall
CHSS111,Introduction to Ethics(CHSS111),0,15W,3,AUA Main Campus,Levon Babajanyan,"MON 1:30pm-2:20pm, WED 1:30pm-2:20pm, FRI 1:30pm-2:20pm",Classroom 406E Paramaz Avedissian Building,202324/fall
CHSS114,Introduction to Religion(CHSS114),0,15W,3,AUA Main Campus,Harutyun Harutyunyan,"MON 1:30pm-2:20pm, WED 1:30pm-2:20pm, FRI 1:30pm-2:20pm",Classroom 206E Paramaz Avedissian Building,202324/fall
CHSS127,World Civilizations(CHSS127),0,15W,3,AUA Main Campus,Naira Sahakyan,"TUE 12:00pm-1:15pm, THU 12:00pm-1:15pm",Classroom 422M/424M Main Building,202324/fall
CHSS128,History of the Modern World(CHSS128),0,15W,3,AUA Main Campus,Ioannis Grigoriadis,"TUE 4:30pm-5:45pm, THU 4:30pm-5:45pm",Classroom 208E Paramaz Avedissian Building,202324/fall
CHSS130,Introduction to Art(CHSS130),0,15W,3,AUA Main Campus,Vigen Galstyan,"MON 12:30pm-1:20pm, WED 12:30pm-1:20pm, FRI 12:30pm-1:20pm",Small Auditorium Main Building,202324/fall
CHSS135,Acting Techniques(CHSS135),0,15W,3,AUA Main Campus,Armine Abrahamyan,THU 3:00pm-5:45pm,Large Auditorium Main Building,202324/fall
CHSS140,Music Appreciation(CHSS140),A,15w,3,AUA Main Campus,Artur Avanesov,"TUE 3:00pm-4:15pm, THU 3:00pm-4:15pm",Classroom 308E Paramaz Avedissian Building,202324/fall
CHSS140,Music Appreciation(CHSS140),B,15w,3,AUA Main Campus,Tzovinar Artzrouni,"MON 3:30pm-4:20pm, WED 3:30pm-4:20pm, FRI 3:30pm-4:20pm",Classroom 308E Paramaz Avedissian Building,202324/fall
CHSS142,Music Theory(CHSS142),0,15W,3,AUA Main Campus,Artur Avanesov,"MON 2:30pm-3:20pm, WED 2:30pm-3:20pm, FRI 2:30pm-3:20pm",Classroom 208M Main Building,202324/fall
CHSS152,Introduction to Korean Language & Culture(CHSS152),0,15W,3,AUA Main Campus,Knarik Gevorgyan,"MON 3:30pm-4:20pm, WED 3:30pm-4:20pm, FRI 3:30pm-4:20pm",Classroom 306E Paramaz Avedissian Building,202324/fall
CHSS158,Introduction to Turkish Language and Culture(CHSS158),0,15W,3,AUA Main Campus,Sona Khachatryan,"TUE 1:30pm-2:45pm, THU 1:30pm-2:45pm",Classroom 408E Paramaz Avedissian Building,202324/fall
CHSS159,Introduction to Chinese Language & Culture(CHSS159),0,15W,3,AUA Main Campus,Ani Grigoryan,"MON 4:30pm-5:20pm, WED 4:30pm-5:20pm, FRI 4:30pm-5:20pm",Classroom 207E Paramaz Avedissian Building,202324/fall
CHSS180,Introduction to Psychology(CHSS180),0,15W,3,AUA Main Campus,Khachatur Gasparyan,"TUE 4:30pm-5:45pm, THU 4:30pm-5:45pm",Classroom 306E Paramaz Avedissian Building,202324/fall
CHSS181,Introduction to Sociology(CHSS181),0,15W,3,AUA Main Campus,Hayarpi Papikyan,"MON 12:30pm-1:20pm, WED 12:30pm-1:20pm, FRI 12:30pm-1:20pm",Classroom 206E Paramaz Avedissian Building,202324/fall
CHSS183,Statistics for Humanities and Social Sciences(CHSS183),A,15w,3,AUA Main Campus,Tatevik Movsisyan,"TUE 3:00pm-4:15pm, THU 3:00pm-4:15pm",Classroom 416W Paramaz Avedissian Building,202324/fall
CHSS183,Statistics for Humanities and Social Sciences(CHSS183),B,15w,3,AUA Main Campus,Parandzem Sargsyan,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Computer Lab 003M Main Building,202324/fall
CHSS184,Social Psychology(CHSS184),0,15W,3,AUA Main Campus,Khachatur Gasparyan,"TUE 3:00pm-4:15pm, THU 3:00pm-4:15pm",Classroom 306E Paramaz Avedissian Building,202324/fall
CHSS185,Understanding Genocide(CHSS185),0,15W,3,AUA Main Campus,Tigran Matosyan,"MON 11:30am-12:20pm, WED 11:30am-12:20pm, FRI 11:30am-12:20pm",Classroom 206E Paramaz Avedissian Building,202324/fall
CHSS187,The Armenian Genocide(CHSS187),0,15W,3,AUA Main Campus,Robert Sukiasyan,"MON 4:30pm-5:20pm, WED 4:30pm-5:20pm, FRI 4:30pm-5:20pm",Classroom 208E Paramaz Avedissian Building,202324/fall
CHSS189,Gender Perspectives(CHSS189),0,15W,3,AUA Main Campus,Lori Injejikian,"MON 1:30pm-2:20pm, WED 1:30pm-2:20pm, FRI 1:30pm-2:20pm",Classroom 208E Paramaz Avedissian Building,202324/fall
CHSS194,Introduction to Cultural Anthropology(CHSS194),0,15W,3,AUA Main Campus,Hrag Papazian,"MON 11:30am-12:20pm, WED 11:30am-12:20pm, FRI 11:30am-12:20pm",Classroom 208E Paramaz Avedissian Building,202324/fall
CHSS195,Introduction to Archaeology(CHSS195),0,15W,3,AUA Main Campus,Arsen Bobokhyan,"MON 4:30pm-5:20pm, WED 4:30pm-5:20pm, FRI 4:30pm-5:20pm",Classroom 306E Paramaz Avedissian Building,202324/fall
CHSS205,"Learning, activism, and social movements(CHSS205)",0,15W,3,AUA Main Campus,Hourig Attarian,"TUE 12:00pm-1:15pm, THU 12:00pm-1:15pm",Classroom 407E Paramaz Avedissian Building,202324/fall
CHSS211,Great Books(CHSS211)(Prerequisite),0,15W,3,AUA Main Campus,Thomas Samuelian,"TUE 3:00pm-4:15pm, THU 3:00pm-4:15pm",Classroom 206M Main Building,202324/fall
CHSS212,Epistemology & Philosophy of Science(CHSS212),0,15W,3,AUA Main Campus,Hagop Yacoubian,"TUE 3:00pm-4:15pm, THU 3:00pm-4:15pm",Classroom 608M Main Building,202324/fall
CHSS213,Symbolic Logic(CHSS213),0,15W,3,AUA Main Campus,Arshak Balayan,"TUE 12:00pm-1:15pm, THU 12:00pm-1:15pm",Classroom 206E Paramaz Avedissian Building,202324/fall
CHSS225,"The Modern Middle East: Peoples, States and Societies(CHSS225)",0,15W,3,AUA Main Campus,Ioannis Grigoriadis,"TUE 3:00pm-4:15pm, THU 3:00pm-4:15pm",Classroom 314M Main Building,202324/fall
CHSS236,Baroque Era(CHSS236),0,15W,3,AUA Main Campus,Araks Shahinyan,"MON 3:30pm-4:20pm, WED 3:30pm-4:20pm, FRI 3:30pm-4:20pm",Classroom 207E Paramaz Avedissian Building,202324/fall
CHSS240,Music & Literature(CHSS240),0,15W,3,AUA Main Campus,Artur Avanesov,"MON 4:30pm-5:20pm, WED 4:30pm-5:20pm, FRI 4:30pm-5:20pm",Classroom 308E Paramaz Avedissian Building,202324/fall
CHSS251,Topics in Cinema(CHSS251),0,15W,3,AUA Main Campus,Michael Smith,TUE 3:00pm-5:45pm,Classroom 214W Paramaz Avedissian Building,202324/fall
CHSS255,Russian Professional Communication(CHSS255),0,15W,3,AUA Main Campus,Armine Vahanyan,"MON 3:30pm-4:20pm, WED 3:30pm-4:20pm, FRI 3:30pm-4:20pm",Classroom 208E Paramaz Avedissian Building,202324/fall
CHSS282,Trade(CHSS282),0,15W,3,AUA Main Campus,Gagik Gabrielyan,"TUE 9:00am-10:15am, THU 9:00am-10:15am",Classroom 407E Paramaz Avedissian Building,202324/fall
CHSS286,Comparative Genocide(CHSS286)(Prerequisite),0,15W,3,AUA Main Campus,Suren Manukyan,"TUE 3:00pm-4:15pm, THU 3:00pm-4:15pm",Classroom 408E Paramaz Avedissian Building,202324/fall
CHSS296,Special Topics in Social Sciences(CHSS296),0,15W,3,AUA Main Campus,Molly Freeman,"TUE 1:30pm-2:45pm, THU 1:30pm-2:45pm",Classroom 206E Paramaz Avedissian Building,202324/fall
CHSS296,Special Topics in Social Sciences(CHSS296),H,15w,3,AUA Main Campus,Roubina Karhily,"MON 3:30pm-4:15pm, WED 3:30pm-4:15pm, FRI 3:30pm-4:15pm",Classroom 206E Paramaz Avedissian Building,202324/fall
CHSS297,Research Projects in Gender Studies(CHSS297)(Prerequisite),0,15W,3,AUA Main Campus,Hourig Attarian,"TUE 3:00pm-4:15pm, THU 3:00pm-4:15pm",Classroom 307E Paramaz Avedissian Building,202324/fall
CHSS380,Introduction to Translation Studies(CHSS380),0,15W,3,AUA Main Campus,Shushan Avagyan,TBD,,202324/fall
CHSS381,History and Theories of Translation(CHSS381),0,15W,3,AUA Main Campus,SysAdmin SysAdmin,TBD,,202324/fall
CHSS38X,Intro to Translation Studies(CHSS38X),0,15W,3,AUA Main Campus,SysAdmin SysAdmin,TBD,,202324/fall
CS100,Calculus 1(CS100),A,15W,3,AUA Main Campus,Karen Navasardyan,"MON 8:30am-9:20am, WED 8:30am-9:20am, FRI 8:30am-9:20am",Classroom 313W Paramaz Avedissian Building,202324/fall
CS100,Calculus 1(CS100),B,15W,3,AUA Main Campus,Karen Keryan,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Classroom 408E Paramaz Avedissian Building,202324/fall
CS100,Calculus 1(CS100),C,15W,3,AUA Main Campus,Hayk Nersisyan,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Classroom 413W Paramaz Avedissian Building,202324/fall
CS100,Calculus 1(CS100),D,15W,3,AUA Main Campus,Hayk Nersisyan,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 408E Paramaz Avedissian Building,202324/fall
CS100,Calculus 1(CS100),E,15W,3,AUA Main Campus,Arpi Stepanyan,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 413W Paramaz Avedissian Building,202324/fall
CS100,Calculus 1(CS100),F,15W,3,AUA Main Campus,Arpi Stepanyan,"MON 11:30am-12:20pm, WED 11:30am-12:20pm, FRI 11:30am-12:20pm",Classroom 408E Paramaz Avedissian Building,202324/fall
CS100,Calculus 1(CS100),G,15W,3,AUA Main Campus,Smbat Aghekyan,"MON 11:30am-12:20pm, WED 11:30am-12:20pm, FRI 11:30am-12:20pm",Classroom 414W Paramaz Avedissian Building,202324/fall
CS102,Calculus 3(CS102)(Prerequisite),A,15W,3,AUA Main Campus,Artur Sahakyan,"MON 8:30am-9:20am, WED 8:30am-9:20am, FRI 8:30am-9:20am",Classroom 413W Paramaz Avedissian Building,202324/fall
CS102,Calculus 3(CS102)(Prerequisite),B,15W,3,AUA Main Campus,Gegham Gevorgyan,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Classroom 414W Paramaz Avedissian Building,202324/fall
CS102,Calculus 3(CS102)(Prerequisite),C,15W,3,AUA Main Campus,Karen Navasardyan,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 414W Paramaz Avedissian Building,202324/fall
CS102,Calculus 3(CS102)(Prerequisite),D,15W,3,AUA Main Campus,Karen Navasardyan,"MON 11:30am-12:20pm, WED 11:30am-12:20pm, FRI 11:30am-12:20pm",Classroom 313W Paramaz Avedissian Building,202324/fall
CS102,Calculus 3(CS102)(Prerequisite),E,15w,3,AUA Main Campus,Arpi Stepanyan,"MON 12:30pm-1:20pm, WED 12:30pm-1:20pm, FRI 12:30pm-1:20pm",Classroom 415W Paramaz Avedissian Building,202324/fall
CS104,Linear Algebra(CS104),A,15W,3,AUA Main Campus,Gayane Ghazaryan,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 406E Paramaz Avedissian Building,202324/fall
CS104,Linear Algebra(CS104),B,15W,3,AUA Main Campus,Anush Vardanyan,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 314W Paramaz Avedissian Building,202324/fall
CS104,Linear Algebra(CS104),C,15W,3,AUA Main Campus,Gayane Ghazaryan,"MON 11:30am-12:20pm, WED 11:30am-12:20pm, FRI 11:30am-12:20pm",Classroom 406E Paramaz Avedissian Building,202324/fall
CS107,Probability(CS107)(Prerequisite),A,15W,3,AUA Main Campus,Vahe Movsisyan,"TUE 9:00am-10:20am, THU 9:00am-10:20am",Classroom 408E Paramaz Avedissian Building,202324/fall
CS107,Probability(CS107)(Prerequisite),B,15W,3,AUA Main Campus,Aram Butavyan,"TUE 10:30am-11:50am, THU 10:30am-11:50am",Classroom 408E Paramaz Avedissian Building,202324/fall
CS107,Probability(CS107)(Prerequisite),C,15w,3,AUA Main Campus,Aram Butavyan,"TUE 1:30pm-2:50pm, THU 1:30pm-2:50pm",Classroom 422M/424M Main Building,202324/fall
CS108,Statistics(CS108)(Prerequisite),B,15W,3,AUA Main Campus,Ashot Abrahamyan,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 208E Paramaz Avedissian Building,202324/fall
