program,code,title,description,credits,prerequisite
BAB,BUS160,Principles of Marketing,"The course introduces students to the field of marketing and marketing management. Students learn to analyze, plan, and implement marketing strategies in order to achieve the objectives of a range of organizations. Students analyze cases that focus on key marketing tasks: marketing research, consumer behavior, segmentation and targeting, product and brand management, sales forecasting, pricing, marketing channels, and promotion and advertising strategies. Students will also have the opportunity to work in teams to develop and present an innovative marketing plan for a business of their choice. Home tasks will include completion of reading assignments and case study analysis as well as weekly progress on team marketing plan. Three hours of instructor-led class time per week time per week including discussions.",3,
BAB,BUS177,Business Communications,"This course provides an intensive introduction to the communication process, the concepts and principles of internal and external business communications, as well as develops an understanding of public relations in a business context. The course also teaches persuasive writing, public speaking, and collaborative skills necessary for future business courses, internships, and professional positions. The course involves lectures, presentations, research, group projects, discussions with active participation and case studies. Three hours of instructor-led class time per week.",3,
BAB,BUS201,Business Negotiations,"This course addresses conflict resolution techniques as well as a broad range of negotiation challenges and strategies. Students will learn about the theory and application of effective negotiation. Through this course, students will be able to analyze individual, group, and organizational behavior and develop techniques to mediate and resolve conflict. Home tasks include reading and case study analysis. Three hours of instructor-led class time per week.",3,BUS105
BAB,BUS207,Human Resources Management,"This course provides an overview of contemporary issues in HRM exploring HR managers’ role in overseeing employee career development cycle from entry to exit. Topics include but are not limited to recruitment, selection and induction, training and development, compensation and benefits, performance management and appraisal systems. Class format includes lectures followed by peer discussions progressing to student presentations and final projects. Instructor-led discussion, home assignments and case study analysis.",3,BUS105
BAB,BUS209,Linear Algebra and Multi-Variable Calculus for Business and Economics,"The course covers many essential topics from a wide range of mathematical disciplines such as multivariable calculus, linear algebra, graph theory, probability and statistics. It particularly includes unconstrained and constrained optimization, double and iterated integrals, vector spaces and matrix algebra, further insight into random variables, etc. The topics are equipped with examples of applications related to business and economics. The examples include but are not limited to applications such as maximization of utility, allocation of resources, linear economic models, and Markov chains. At the same time, where possible, the course aims to show what constitutes a strict mathematical proof using the language of abstract mathematics. This course is an important part of the mathematical education for students. The main prerequisite is the knowledge of the single-variable calculus. Familiarity with economics terms and foundations of statistics/probability is highly desirable. Students are required to complete weekly reading assignments and solve in-class and homework problem sets.",3,EQCALC1
BAB,BUS210,Introduction to International Business Management,"This course examines the management of international corporations in today’s global political and economic environment. Topics include management challenges faced by multinational corporations, the economics of trade, money and investment in the world economy, policies and behavior of governments and international organizations, and current issues regarding emerging economies and shifts in the political economy of global markets. Home tasks will include reading assignments, research, and case study analysis. Three hour of instructor-led class time per week.",3,
BAB,BUS211,Introduction to Innovation and Entrepreneurship,"The course examines the sources of motivation for entrepreneurship and innovation, and the skills, knowledge, and abilities of entrepreneurs and the innovators. Students will become familiar with the processes involved in starting a new venture or transforming an existing business. Integrating their business knowledge from previous coursework, students will generate innovative business ideas and develop implementable business plans. The course will explore the following topics: opportunity identification, feasibility of ideas, market analysis, legal and tax considerations, ownership options, and management and financing challenges and requirements. Home tasks will include completion of reading assignments, analysis of case studies, and development of business plan. Three hours of instructor-led class time per week.",3,"BUS105, BUS145, BUS160"
BAB,BUS218,Financial inclusion and Sustainable development,"As part of the larger Sustainable Development Goals (SDG), the financial inclusion and sustainable development are overarching values which the corporate world and public sector should embrace in their strategic planning processes. The course will enable students to gain fundamental knowledge and understanding of the key challenges and pathways to sustainable development and financial inclusion. Within this course, students will get an overview of sustainability and its relevance for the management of the global systems supporting humanity. We will also shed light on how financial inclusion can induce household wellbeing and enhance individual livelihood. Topics covered include economic development (inequality, multidimensional poverty, education, gender), social inclusion and sustainable business development. Under faculty supervision, tasks will include completion of assignments, research project and paper presentations.",3,At least 60 completed credits required.
BAB,BUS226,"Money, Banking and Financial Institutions","This course examines modern theory of corporate finance and financial institutions. Topics covered include, monetary policy, financial markets, financial intermediation and the role of banks and other financial institutions, regulation of financial markets, incomplete financial contracting, financial intermediation, initial public offerings, market for corporate control and security design. Students will work collaboratively in groups to analyze financial institutions and apply relevant theories and frameworks to real-world business problems. Students will present their findings to their peers and business professionals. Home tasks will include reading, research, and case study analysis. Three hour of instructor-led class time per week.",3,"BUS145, BUS146, BUS230, ECON121, ECON122"
BAB,BUS227,International Monetary Relations,"This course explores international macroeconomic relationships. Topics include national income, accounting, and balance of payments; foreign exchange rates and exchange rate markets; money, interest rates, and exchange rate determination; prices, exchange rates, and output in the short run; international monetary arrangements; fixed versus flexible exchange rates; optimal currency areas; and international capital flows. The course relates basic economic theory to current international problems, using a policy-oriented approach. Home tasks include research, reading, problem sets, and case study analysis. Three hours of instructor-led class time per week.",3,ECON121
BAB,BUS230,Introduction to Finance,"The course introduces students to the principles of finance and their application to financial decision making in a variety of business enterprises. The course will examine the following topics: introduction on financial markets and institutions; time value of money; financial instruments and their valuation: financial analysis and the problems of financial forecasting; capital budgeting, cost of capital, introduction to risk and return; comparing financial objectives of manager and investor; and long term financing. Home tasks may include completion of reading assignments, problem sets and case study analysis.",3,"BUS110, BUS145, BUS109 or CS100"
BAB,BUS232,Principles of Corporate Finance,"This course builds upon topics covered in BUS 230 Introduction to Finance and provides an overall introduction to the theory, methods, and concerns of corporate finance. Topics include time value of money and capital budgeting, risk and return, dividend policy decisions, security market efficiency, and optimal capital structure.",3,BUS230
BAB,BUS233,Public Finance,"This course focuses on the role of the government in the economy. The aim is to provide an understanding of the reasons for government intervention in the economy, analyzing the benefits of possible government policies, and the response of economic agents to the government’s actions. The course covers taxes on capital, savings and labor; corporate taxation, welfare capitalism, externalities and public goods, behavioral public finance, political economy. Special coverage of current policy issues such as social security reform, income tax reform, and budget deficits. Class format includes lectures instructor-led discussion, assignments, readings and projects.",3,"ECON121, ECON122"
BAB,BUS234,Market Structure and Strategy,"This course studies decisions of firms in imperfectly competitive environments. The topics include strategic decision making in static and dynamic contexts on pricing, capacity, product differentiation, advertising and marketing, research and development, and size of investment. The course applies micro- and game-theoretic approaches. Class format includes lectures instructor-led discussion, assignments, reading and projects.",3,"ECON121, ECON122, ECON221"
BAB,BUS239,Special Topics in Finance,This course explores topics in finance with emphasis on current problems and research. Topics to be announced prior to course registration. The course will enable students to develop skills/understanding of advanced topics on an individual basis. Students will develop deeper understanding of a specific finance topic related to the student’s academic interest.,3,BUS230
BAB,BUS245,Intermediate Financial Accounting,"This course builds upon concepts covered in BUS 145 Introduction to Financial Accounting. This course will review accounting principles and examine the components of the asset side of the balance sheet: cash, accounts receivable, inventory, marketable securities, equity investments, PPE, and intangibles. Students are required to complete weekly reading assignments and problem sets. Home tasks will require students to apply complex accounting procedures and principles and analyze business transactions. Three hours of instructor-led class time per week.",3,BUS145
BAB,BUS247,Intermediate Managerial Accounting,"Building upon topics covered in BUS 146 Introduction to Managerial Accounting, this course explores alternative methods of accounting information for managerial decision making. Students will analyze the complex relationships between accounting techniques and other organizational activities including strategy, employee motivation, and the use of accounting information to develop solutions for managerial challenges. Home tasks will include completion of reading assignments, problem sets and case study analysis. Three hours of instructor-led class time per week time.",3,BUS146
BAB,BUS248,Introduction to Financial Statement Analysis,"This course examines financial reporting in the context of decision-making and contracting. Students will extract, interpret, and analyze financial statements with emphasis on identifying various objectives and incentives. Students will apply learned techniques to case studies and real-world business scenarios. Home tasks will include case study analysis and problem sets. Three hours of instructor-led class time per week.",3,BUS145
BAB,BUS250,Tax Accounting,"This course will introduce students to the Armenian tax code and the different categories of taxes applicable to individuals and companies, domestic and foreign, including profit tax, income tax, VAT, social security, property, land and other excise taxes. In addition to learning about the accounting and tax reporting requirements, students will also study elementary tax planning, taxation of basic import/export transactions including customs, and international taxation under double tax and foreign investment treaties. Home tasks will include problem sets, statutory interpretation and application, and review of tax authority guidance and administrative cases. Three hours of instructor-led class time per week.",3,BUS145
BAB,BUS253,Introduction to Auditing,"This course examines the changing role of the auditor, the organization of the accounting profession, and the influences of oversight. Topics include auditing and reporting standards,audit planning and documentation, materiality and risk, internal control, statistical tools,legal liability, and professional ethics. Students will utilize journal articles and case studies to discuss and analyze theory. Home tasks include reading, case study analysis and problem sets. Three hours of instructor-led class time per week.",3,BUS145
BAB,BUS254,Intermediate Auditing,"This course builds upon topics introduced in BUS253,Introduction to Auditing, and focuses on auditing financial reports, internal controls, and Electronic Data Processing (EDP) systems. Topics include the personnel and payroll system, inventory, capital acquisition cycle, selected balance sheet and income statement accounts, audit reports, assurances and other services, professional ethics, and legal responsibilities. Also discussed will be the value value of internal auditing to a company’s strategy. Home tasks include reading, case study analysis and problem sets. Three hours of instructor-led class time per week.",3,BUS253
BAB,BUS257,International Accounting,"This course examines how generally accepted accounting principles and reporting practices have been developed and applied globally. Topics include inflation accounting and foreign currency translation, accounting for hedging transaction losses, management control in the foreign environment, analysis of foreign financial statements, transfer pricing and international taxation. Students will utilize case studies to compare practices and examine theory. Home tasks include research, case study analysis, and problem sets. Three hours of instructor-led class time per week.",3,"BUS145, ECON228"
BAB,BUS261,Sales Management,"This course examines through case study analysis the strategic and tactical aspects of sales management with emphasis on strategies for managing a sales force. Business-to-business as well as business-to-consumer relationships will be covered. Students will engage in individual presentations as well as group projects. Topics include salesperson effectiveness, deployment, motivation, organizational design, compensation, and evaluation. Home tasks will include reading, research, case study analysis, and presentation preparation. Three hours of instructor-led class time per week.",3,BUS160
BAB,BUS262,Consumer Behavior,"This course examines the factors influencing consumer choices in the market place. Topics include consumer knowledge, rationality, judgment biases, risk-taking, dealing with conflicting values, and prospect theory. Students will work individually and in groups to analyze case studies. Home tasks include reading, research, and case studies. Three hour of instructor-led class time per week",3,BUS160
BAB,BUS263,Brand Management,"This course examines the importance of building a brand as well as the ingredients for solid brand management. Topics include understanding brands, designing brand, and measuring brand usage. Students will work individually and in groups to analyze case studies and present findings. Home tasks include research and case study analysis. Three hour of instructor-led class time per week.",3,BUS160
BAB,BUS265,International Marketing,"This course examines the economic, cultural, social, political, legal, and strategic influences on international marketing. Topics include product pricing, distribution, strategies and policies, market selection, and market research. Home tasks include reading, research, and case study analysis. Three hour of instructor-led class time per week.",3,BUS160
BAB,BUS266,Advertising Management,"This course examines the theories, strategies, principles and practices of effective advertising management. Students will utilize theory and market research to analyze the design and management of advertising. Topics include consumer segmentation, target selection, consumer motivation and insight, and developing communications strategies. Students will work individually and in groups to analyze case studies. Home tasks include research and case study analysis. Three hour of instructor-led class time per week.",3,BUS160
BAB,BUS271,Tourism and Hospitality,"This course will examine the scope of the hospitality and tourism industries and how they work together, whilst learning key business skills including marketing, operations management and human resources. The course will address hospitality management knowledge and practices. It will review aspects from marketing to engineering of lodging and food service industries. Home tasks will include industry analysis, reading assignments and case study write-ups. Instructor-led discussion, along with reading, written, and practical assignments.",3,BUS160
BAB,BUS275,Market Research,"This course examines the role of market research in solving marketing problems. Topics include problem formulation, research design, alternative methods of data collection, sampling, and data analysis techniques. Students will work individually and in groups to engage in market research. Home tasks include research, case study analysis, and problem sets. Three hour of instructor-led class time per week.",3,"BUS110, BUS160, BUS209"
BAB,BUS276,Integrated Marketing Communication,"This course explores the integrated approach to marketing products and services and the major marketing communication decisions made by brand managers. Topics include mass media advertising, public relations, sales promotion, direct response marketing and packaging. Students will work individually and in groups on various marketing projects throughout the semester. Home tasks include research and case study analysis. Three hour of instructor-led class time per week.",3,BUS160
BAB,BUS278,Internet Marketing,"This course will build upon BA 160 Principles of Marketing and investigate the opportunities and challenges presented by the continuing development of Internet Technology. Topics include e-business strategy, online consumer behavior, strategy alternatives, advertising, promotions, and public relations. Lectures and workshops will explore the use of the internet in market research and marketing communication between businesses and consumers as well as between businesses. Home tasks will include research and case study analysis. Three hours of instructor-led class time per week.",3,BUS160
BAB,BUS279,Special Topics in Marketing,This course explores topics in business communication with emphasis on current problems and research. Topics to be announced prior to course registration. Three hour of instructor-led class time per week.,3,"BUS105, BUS160"
BAB,BUS280,Operations Management,"This course provides a comprehensive introduction to the role, responsibilities, and skill sets of operations managers. Through this course, students will learn how operations managers can effectively and efficiently transform human, physical, financial, and technical resources into goods and services. Students will also learn how to analyze, run and improve business operations across a range of industries. The course emphasizes operation-level decision-making, involving both process-design and resource decisions. Students are required to complete a final project in which they assess the effectiveness of management decisions and provide recommendations to a real world business challenge based upon an extensive analysis of both qualitative and quantitative data. Home tasks will include completion of reading assignments, problem sets and case study analysis. Three hours of instructor-led class time per week time per week",3,"BUS105, BUS110, BUS109 or CS100"
BAB,BUS281,Management Information Systems,"The course introduces students to information technologies as they influence the structure, processes, and strategies of organizations and economies, and the roles and techniques of management in introducing and utilizing these technologies for achievement of organizational objectives and improvement of business processes. Through this course, students will examine the role of information systems in solving business-related problems such as new product/service development, innovation, and competitive performance. Topics include information systems in global business; IT infrastructure, business intelligence and information security; key system applications for enhanced decision-making, operational excellence, managing knowledge and AI; building and managing information systems; and more. Home tasks will include completion of reading assignments, problem sets involving use of computer software, case studies and IT projects.",3,BUS101
BAB,BUS282,Modern Tools of Decision Making,"This course aims to provide and cover the fundamentals of CRM, HRM and ERP technology and to enable students to use these tools for efficient decision making It is based on a real system that simulates close to real data of different enterprises – with sales, people and resources. Students will have an access to systems and will be exposed to real world complex problem solving situations, such as hiring/firing, managing shortages of supplies and sales management. The course will also cover cases of different Process Automation principles. Home tasks will include completion of reading assignments, problem sets and case study analysis.",3,EQISBAB
BAB,BUS285,Strategic Management,"This course brings together the skills and disciplinary understanding gained in previous courses, with a focus on managerial decisions and actions that determines the long-term performance of a company. Topics include: environmental scanning (both external and internal), strategy formulation (strategic or long-range planning), strategy implementation, and evaluation and control. The study of strategic management, therefore, emphasizes the monitoring and evaluating of external opportunities and threats in light of a corporation’s strengths and weaknesses.    Students will develop skillsets for understanding and analyzing strategic issues. Students will examine and analyze cases studies covering a broad range of business situations as well as other internal and external factors affecting and driving managerial decision-making. Students will work both individually and in groups, to present cases, and develop a foreign market-entry strategy project for a virtual company they will develop themselves. There are three hours of instructor-led class time per week.",3,"BUS105, ECON121"
BAB,BUS286,Accounting Information Systems,"This course examines accounting information systems, including their design, control, and use. Through this course, students will develop their abilities to understand the processing of accounting data through computerized systems and the controls that are necessary to assure accuracy and reliability of the data processed by these systems. Home tasks will include completion of reading assignments, problem sets and case study analysis. Three hours of instructor-led class time per week.",3,BUS145
BAB,BUS287,Start-Up Management,"This course focuses on the typical stages that successful start-up companies go through, tailored to the Armenian business reality. Students will apply appropriate managerial and entrepreneurial principles and frameworks to analyze innovative business ideas. Guest speakers from prominent Armenian start-up companies will share their experience on managing the initial phase of launching and developing a company, and on real-life “underwater stones” that they had to cope with. A major component will be a group project to identify “market gaps” that could be filled in by new product/service offerings, and to prepare a substantiating written report and a PPT presentation to support the case using analytical tools and techniques included in class materials. Classroom discussion and homework assignments will be based on case studies. Three hours of instructor-led class time per week.",3,BUS101
BAB,BUS288,Business Analytics,"This course will introduce the main concepts in business analytics, which will allow achieving fluency in four paradigms that account for most business decisions: marketing, operations, human resources and financial analytics. Students will learn how to explore and visualize the data and develop an analytic mindset that will help you make strategic decisions based on data. Students also explore the common pitfalls in interpreting statistical arguments, especially those associated with big data. Collectively, this course will help students internalize a core set of practical and effective methods and concepts, and apply them to solve some real world problems. In the final Project, students will apply their skills to interpret a real-world data set and make appropriate business strategy recommendations. In addition to the readings, there are 5 graded problem sets and ungraded review problem sets at the beginning and end of the course. The problem sets have both analytical and computational exercise components. The statistical analysis will be conducted using IBM SPSS Statistics, IBM SPSS Modeler and MS Excel. Three hour instructor led class-time weekly.",3,"BUS109 or CS100, BUS110 or CS108"
BAB,BUS290,Independent Study,This course is designed to permit students to design and complete a research project or other academic or professional approved activity under the supervision of an instructor for credit. The course will address a special area of interest of the student and instructor outside the standard offerings of the program and have interdisciplinary or research components. The course must include a syllabus (or study plan) and evidence of learning equivalent to respective credits. Independent study courses are subject to approval of instructor and Program Chair.,3,At least junior level is required
BAB,BUS292,Internship,"The Business Internship provides students with practical experience in professional settings, enabling students to apply the skills learned throughout the program. Placements must be approved by the program prior to the course registration opening date. Approval will depend on both the suitability of the placement and the specific tasks and projects that the placement will entail. All internships require regular reporting and culminate with a written report summarizing the internship experience. The internship requires up to 150 hours of work (50 hours per credit) over the length of minimum 10 weeks in the given semester. Students can take the course no more than two times (adding up to no more than 3 credits)",3,
BAB,BUS293,Internship,,2,
BAB,BUS294,Internship,,1,
BAB,BUS295,Research Methods,"This course is designed to provide students with with the necessary knowledge and skills on different types of quantitative, qualitative and mixed methods approaches. Students will advance their understanding of research through critical exploration of research language, ethics, elements of the research process and challenges. Students will gain an understanding of relevant techniques and elements of undertaking a research inquiry and providing insights to solving a relevant problem. The course will cover the following topics: defining research questions, setting research objectives, doing systematic literature review, elaborating study design, doing secondary and primary data collection and mastering such instruments, doing sampling and data analysis; and effective reporting and communicating results. Coursework includes reading, assignments, research proposal elaboration, exams.",3,A minimum of 80 completed credits is required.
BAB,BUS298,Business Case Analysis,"Modern fast-changing world requires an adaptive style of decision-making. Students will be working in teams of three or four to learn advanced techniques of analyzing the dilemma in case studies. They will develop criteria to assess alternative scenarios and offer the best solution, preparing presentations utilizing unique slide templates that each team will prepare. Teams will have at least one student specializing in marketing and at least one student specializing in finance/accounting. In addition to gaining vital skills of framing and analyzing complex business problems, students will learn to work under pressure through solving cases in a limited timeframe.",3,"BUS101, ECON121, ECON122"
BAB,BUS299,Capstone: Simulation,"Students will be able to choose this option as an alternative to Capstone simulation, Capstone consulting project, or Thesis. They will work in teams of three or four to learn advanced techniques of analyzing the dilemma in HBS-style case studies, and preparing presentations on proposed solutions. Each team will have at least one student specializing in marketing and at least one student specializing in finance/accounting. Ultimately, student teams will be ready to participate in business case competitions representing AUA.",3,A minimum of 90 completed credits required
BAB,BUS299CP,Capstone: Consulting Project,Capstone: Consulting Project,3,A minimum of 90 completed credits required
BAB,BUS299HT,Capstone: Honors Thesis,BUS 299HT Capstone: Honors Thesis,3,A minimum of 90 completed credits required
MBA,BUS300,Introduction to International Competitive Strategy,"This course is intended to develop students’ ability to think strategically about business problems. At the same time it serves as an introduction to the use of the case method. The course is a systematic examination of models and techniques used to analyze a competitive situation within an industry from a strategic perspective. It examines the roles of key players in competitive situations and the fundamentals of analytical and factoriented strategic reasoning. Examples of applied competitive and industry analysis are emphasized. The course examines the different stages involved in making and implementing strategic decisions, defining the problem(s), establishing the criteria (both quantitative and qualitative), designing alternative solutions, and making a decision based on objective criteria and the ease of successful implementation of the solution chosen.",2,
MBA,BUS305,Managing People & Organizations,"This course provides an intensive overview of the major concepts in organizational behavior and issues facing contemporary managers. The course approaches management as the processes and techniques used to reach organization goals by working with and through people and other resources. These processes include a study of individual differences, group behavior, organizational culture, job design and job satisfaction, motivation, decisionmaking, power and leadership, and communication. The course makes use of theories that transcend the workplace, such as the psychology of individual and group behavior. The course examines how people influence organizational events and how events within the organization influence people’s behavior. The course uses a combination of conceptual and experiential approaches, including case analyses, videos, simulations, group exercises and class discussions.",3,
MBA,BUS306,Managerial Negotiations,"This course introduces students to negotiation skills and practices and improves their abilities to diagnose conflict situations. It provides a conceptual framework to diagnose problems and promote agreements, both outside and inside an organization. Upon completion of this course, students will have a sound understanding of using negotiation and conflict resolution skills in a variety of settings. Course format involves simulated negotiation and experiential exercises, case analysis, discussion, and lecture.",2,BUS305
MBA,BUS307,Human Resource Management,"The objective of this course is to introduce the student to a general overview of personnel policies and best practices in organizations. The course will focus on human resources from the perspective of the human resource professional. Specific topics to be covered include staffing, training and development, performance evaluation, compensation, employee discipline, work safety/health, and labor/management relations to name a few. This course will rely heavily on case analysis, along with didactic lectures, group discussions, and presentations.",3,BUS305
MBA,BUS308,Career Development and Strategies,"Drawing upon human resources management and organizational studies and using case studies, this course examines how career paths and systems operate within an organization given the need for coherence between them and the strategy of the organization. The course also introduces students to several skills, tools and techniques required for effective career planning and advancement. The course provides students with the opportunity to practice and improve themselves in the following areas: identifying career goals and paths, dealing with gaps in their critical career and professional skills, professional networking and liaising. Students also examine the challenges and opportunities associated with the application of knowledge and skills learned in the program to their current/future work environments.",1,
MBA,BUS309,Special Topics in Management,"This course is designed to introduce graduate students to some of the emerging global trends in management. The course covers concepts and practice not covered by other management courses. The focus will be on areas that are likely to have wide applicability in Armenia and in the region. The primary method of instruction will be to use didactic lectures, case analysis and group presentations.",2,BUS305
MBA,BUS310,International Business Management,"This course introduces students to fundamental as well as current major topics in international business by focusing on the economic, cultural, social, political and organizational issues raised by the international operations of the firm. The course explores the firm’s motivations for international expansion, its choices of entering foreign markets, and examines the key components involved in operating facilities, strategic positioning and organizational structure in foreign markets. The course also covers the fundamental elements of cross-cultural management and working in an international context by examining the impact of cultural differences in key management activities. The course places a special emphasis on exploring the challenges and opportunities facing Armenian firms in their expansion into the Russian, European and other markets as well as the strategic and operational challenges and opportunities facing multinational firms in the South Caucasus and in the Armenian market, in particular.",3,
MBA,BUS311,Entrepreneurship,"The course is designed to explore the complexities of creating and sustaining an entrepreneurial venture. Concentration is on the impact of innovative behavior and its implication to decision-making. The primary focus of the course is on the behaviors involved in forming new enterprises: recognizing and evaluating opportunities; developing a network of support; building an organization; acquiring resources; identifying customers; estimating demand; selling, writing and presenting a business plan; and exploring the ethical issues entrepreneurs face. The course format includes case studies and discussion, in-class exercises, readings, and guest speakers.",3,
MBA,BUS312,Legal Environment of Business,"This course provides students with a basic understanding of how legal, regulatory and political processes affect business strategy and decision making. Readings and lectures provide students with a basic background in the theoretical foundations and practical workings of the two main legal systems of the world, how they evolved and presently work. The course includes a survey of basic rules of criminal law, intentional torts, and negligence; the rules affecting the making and performance of contracts; general contract law as well as specific rules that exist in the sale of goods and merchandise, and in the purchase, ownership and sale of real property; and the choices available for dispute resolution, including mediation, arbitration, and trial at court.",2,
MBA,BUS313,Corporate Ethics and Responsibility,"This course examines contemporary issues in ethical behavior in organizations. Drawing from the fields of philosophy, law, ethics, business and society, and management, the course explores decision dilemmas that require multidisciplinary thinking as it pertains to corporate ethics and responsibility in today’s global marketplace. Emphasis is to practice decision principles that allow students to take into account their own moral principles in making business decisions. This course is taught drawing heavily on the case method along with didactic lectures, group discussions, and group presentations.",2,BUS305
